SentenceID,Text,Duration,Speaker,Sentiment
1,"Hi, thank you for calling Questran medical supplies.",2.094,A,POSITIVE
2,This is Candice.,0.792,A,NEUTRAL
3,How can I help you today?,1.204,A,NEUTRAL
4,"Hi, Candice, this is Susan, and I'm calling to order my monthly feeding supplies, my milk and my syringes.",9.256,B,NEUTRAL
5,"Can you help me with that, please?",1.736,B,NEUTRAL
6,Sure.,0.36,B,NEUTRAL
7,I'll be happy to assist you with that.,1.36,A,POSITIVE
8,May I have your full name and date of birth?,2.2,A,NEUTRAL
9,Sure.,0.552,B,NEUTRAL
10,My name is Susan Smith.,1.744,B,NEUTRAL
11,"Date of birth is August 9, 1979.",4.644,B,NEUTRAL
12,Thank you.,0.664,A,POSITIVE
13,Let me pull up your account.,1.36,A,NEUTRAL
14,Give me one moment.,1.444,A,NEUTRAL
15,Okay.,1.02,B,NEUTRAL
16,And how's your day going?,1.66,B,NEUTRAL
17,"Oh, my.",0.744,A,NEUTRAL
18,My day's really great.,1.36,A,POSITIVE
19,It's the middle of the summer.,1.176,A,NEUTRAL
20,The weather's really nice.,1.324,A,POSITIVE
21,I couldn't ask for more.,1.36,A,POSITIVE
22,And yours?,1.02,A,NEUTRAL
23,It's great.,1.02,B,POSITIVE
24,Although I really don't care much for summer.,3.088,B,NEGATIVE
25,I prefer winter and autumn.,1.836,B,POSITIVE
26,Really?,0.792,A,NEUTRAL
27,Too hot?,0.964,A,NEUTRAL
28,"Too hot and too humid, especially down here in Florida.",4.648,B,NEGATIVE
29,"Oh, well, I can only imagine it in Florida.",3.216,A,NEGATIVE
30,But I like autumn too.,1.632,A,POSITIVE
31,It's good for photography.,1.648,A,POSITIVE
32,Hmm.,0.648,B,NEUTRAL
33,Really?,0.66,B,NEUTRAL
34,"Yes, absolutely.",1.42,A,POSITIVE
35,"All right, I have your account pulled up here, and I see that your prior authorization on file expired last month.",6.64,A,NEUTRAL
36,And we'd also need a new prescription on file.,2.7,A,NEUTRAL
37,"And also, based on the notes, the previous representative, James, advised you to get a new authorization.",6.14,A,NEUTRAL
38,Am I reading this right?,1.42,A,NEUTRAL
39,"Oh, yes, yes, James advised me to renew.",3.58,B,POSITIVE
40,"But here's the thing, Candace.",1.208,B,NEUTRAL
41,Here's the thing.,0.876,B,NEUTRAL
42,"Oh, excuse me.",1.86,B,NEUTRAL
43,"The day I was told about it, my doctor had already moved to another state, so I couldn't exactly get the documents.",6.868,B,NEUTRAL
44,And my new doctor?,1.176,B,NEUTRAL
45,"I was supposed to see him last week, but my appointment was cancelled.",4.18,B,NEGATIVE
46,The earliest he could see me will be on the 30th of this month.,3.704,B,NEUTRAL
47,Today is the fifth.,1.468,B,NEUTRAL
48,"My supply is running out, and I simply cannot wait that long.",3.42,B,NEGATIVE
49,I see.,0.94,A,NEUTRAL
50,"Is there a way that you can have the appointment moved earlier, perhaps this week?",5.26,A,NEUTRAL
51,The documents are really all we need to be able to send you your supplies.,3.42,A,NEUTRAL
52,I did.,0.552,B,NEUTRAL
53,I already did.,0.928,B,NEUTRAL
54,"I phoned the clinic, explained the situation, but the lady swore it was the earliest they could do so.",5.28,B,NEUTRAL
55,"There's been an emergency, and the doctor could not do anything for me until the 30th.",3.84,B,NEGATIVE
56,"And my doctor, the one who moved to another state, I called him.",4.544,B,NEUTRAL
57,Turns out he couldn't issue an authorization either because he doesn't work in the clinic anymore.,4.564,B,NEGATIVE
58,"We're still on the fifth, and my diabetes is so severe that I don't think I'd ever survive a day without it.",4.838,B,NEGATIVE
59,It's pretty long gap to not be taking my medicine.,2.88,B,NEGATIVE
60,"It is, and it is not good for you, as it turns out, if there are no valid documents on file, your insurance company will not be able to cover any costs for any supplies we're going to send you until we get the prior authorization and prescription on file.",17.028,A,NEGATIVE
61,Your only option would be to pay out of pocket.,3.18,A,NEUTRAL
62,"But once you get the renewed authorization, which won't be long, you will then be covered again by your insurance company.",7.488,A,NEUTRAL
63,It's only going to be temporary until we get the valid documents.,3.876,A,NEUTRAL
64,"Oh, Candace, I know you're just doing your job, but if there's anything you can do, anything at all, please, I would thank the high heavens for it.",8.368,B,POSITIVE
65,I simply cannot afford to pay out of pocket this time.,3.128,B,NEGATIVE
66,I'm a senior and I now live alone.,2.976,B,NEUTRAL
67,"My husband, 53 years, just died last month.",3.172,B,NEGATIVE
68,Died in his sleep.,1.236,B,NEGATIVE
69,Left me just like that.,1.224,B,NEGATIVE
70,"And it feels like the world is crashing down on me, you know?",3.216,B,NEGATIVE
71,I'm just trying to pick up the pieces together.,1.984,B,NEUTRAL
72,"I paid for his burial and everything else, and now I simply cannot pay for anything else, you know?",5.712,B,NEGATIVE
73,"Oh, I am so sorry for your loss, Susan.",3.232,A,NEGATIVE
74,I am so sorry.,1.42,A,NEGATIVE
75,"And I know that this might sound like a sob story to you, and I don't blame you if you think it is.",6.62,B,NEUTRAL
76,"No, no.",0.872,A,NEGATIVE
77,"But that's just been my situation lately, and I've been trying to keep it together.",4.284,B,NEUTRAL
78,"The moment I picked up the phone today, I tried acting happy, but it's just been too hard.",6.632,B,NEGATIVE
79,Too hard.,0.704,B,NEGATIVE
80,I.,0.58,B,NEUTRAL
81,"Life has been just really hard lately, you know?",3.9,B,NEGATIVE
82,"I cannot imagine what you must be going through, Susan, and I won't assume to know, but you have my deepest condolences.",9.312,A,NEGATIVE
83,I'm so sorry for your loss.,2.564,A,NEGATIVE
84,Thank you.,0.864,B,POSITIVE
85,"And, you know, don't worry about it, Candace.",3.748,B,NEUTRAL
86,We've lived together for quite a long time.,2.34,B,POSITIVE
87,53 years.,1.392,B,NEUTRAL
88,It's quite a long time.,1.4,B,NEUTRAL
89,Even if for me it's still short.,2.184,B,NEUTRAL
90,"But, you know, other couples don't have that much.",3.0,B,NEUTRAL
